Category;Managed by;Beheerder;Name;Naam;Postal code;Municipality;Gemeente;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
Tram;STIB;MIVB;UZ Brussel;UZ Brussel;1090;Jette;Jette;https://www.google.com/maps/search/?api=1&query=50.8866523%2C4.31133555;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8866523%2C4.31133555;50.8866523016, 4.3113355508;"{""coordinates"": [4.3113355508, 50.8866523016], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Ukkel Noordkrieken;Ukkel Noordkrieken;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.78080509%2C4.33240906;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.78080509%2C4.33240906;50.780805093, 4.3324090647;"{""coordinates"": [4.3324090647, 50.780805093], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Orban;Orban;1190;Forest;Vorst;https://www.google.com/maps/search/?api=1&query=50.82727982%2C4.32747706;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82727982%2C4.32747706;50.82727982, 4.3274770562;"{""coordinates"": [4.3274770562, 50.82727982], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Joost-ten-Node Kruidtuin;Sint-Joost-ten-Node Kruidtuin;1210;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.8536711%2C4.36592597;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8536711%2C4.36592597;50.8536711041, 4.3659259699;"{""coordinates"": [4.3659259699, 50.8536711041], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Orban;Orban;1190;Forest;Vorst;https://www.google.com/maps/search/?api=1&query=50.82690214%2C4.32715094;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82690214%2C4.32715094;50.8269021448, 4.327150935;"{""coordinates"": [4.327150935, 50.8269021448], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Gillis Moris;Sint-Gillis Moris;1060;Saint-Gilles;Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.82409431%2C4.35098261;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82409431%2C4.35098261;50.8240943098, 4.3509826118;"{""coordinates"": [4.3509826118, 50.8240943098], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Exposition;Tentoonstelling;1090;Jette;Jette;https://www.google.com/maps/search/?api=1&query=50.8800616%2C4.31595021;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8800616%2C4.31595021;50.8800615987, 4.3159502095;"{""coordinates"": [4.3159502095, 50.8800615987], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Anderlecht Kol.Veteranensquare;Anderlecht Kol.Veteranensquare;1070;Anderlecht;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.84435371%2C4.31229817;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84435371%2C4.31229817;50.8443537131, 4.3122981665;"{""coordinates"": [4.3122981665, 50.8443537131], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Tir aux Pigeons;Duivenschieting;1150;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;https://www.google.com/maps/search/?api=1&query=50.81981039%2C4.46742317;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.81981039%2C4.46742317;50.8198103866, 4.4674231695;"{""coordinates"": [4.4674231695, 50.8198103866], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Schaarbeek Sint-Maria;Schaarbeek Sint-Maria;1030;Schaerbeek;Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.85881311%2C4.36940547;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85881311%2C4.36940547;50.8588131053, 4.3694054682;"{""coordinates"": [4.3694054682, 50.8588131053], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
