grid_row,grid_col,count,approx_lat,approx_lon,Bus,Métro,Tram
3,35,247,50.804264,4.438816,0.0,0.0,0.0
4,-7,24,50.806512,4.289254,0.0,0.0,0.0
4,-1,195,50.806512,4.31062,0.0,0.0,0.0
4,0,27,50.806512,4.31418,2.0,0.0,2.0
4,1,10,50.806512,4.317742,0.0,0.0,0.0
4,2,4,50.806512,4.321302,0.0,0.0,0.0
4,3,357,50.806512,4.324864,2.0,0.0,0.0
4,5,28,50.806512,4.331986,0.0,0.0,0.0
4,6,15,50.806512,4.335546,2.0,0.0,2.0
4,7,40,50.806512,4.339108,1.0,0.0,0.0
4,12,43,50.806512,4.356912,2.0,0.0,0.0
4,13,6,50.806512,4.360474,0.0,0.0,0.0
4,15,5,50.806512,4.367596,2.0,0.0,0.0
4,16,12,50.806512,4.371157,4.0,0.0,0.0
4,17,18,50.806512,4.374718,0.0,0.0,0.0
4,18,74,50.806512,4.378278,0.0,0.0,0.0
4,19,51,50.806512,4.38184,0.0,0.0,0.0
4,20,151,50.806512,4.3854,0.0,0.0,0.0
4,21,95,50.806512,4.388962,0.0,0.0,2.0
4,22,62,50.806512,4.392522,0.0,0.0,0.0
4,23,56,50.806512,4.396084,0.0,0.0,0.0
4,25,60,50.806512,4.403206,0.0,0.0,0.0
4,26,266,50.806512,4.406766,1.0,0.0,0.0
4,27,32,50.806512,4.410328,0.0,0.0,0.0
4,28,171,50.806512,4.413889,0.0,0.0,0.0
4,30,156,50.806512,4.42101,0.0,0.0,0.0
4,35,143,50.806512,4.438816,0.0,0.0,0.0
5,-7,48,50.808758,4.289254,0.0,0.0,0.0
5,-4,24,50.808758,4.299936,0.0,0.0,0.0
5,-3,24,50.808758,4.303498,0.0,0.0,0.0
5,-1,178,50.808758,4.31062,0.0,0.0,0.0
5,0,425,50.808758,4.31418,0.0,0.0,0.0
5,1,234,50.808758,4.317742,0.0,0.0,1.0
5,2,36,50.808758,4.321302,2.0,0.0,0.0
5,3,256,50.808758,4.324864,2.0,0.0,0.0
5,4,24,50.808758,4.328425,1.0,0.0,0.0
5,5,10,50.808758,4.331986,0.0,0.0,0.0
5,6,218,50.808758,4.335546,0.0,0.0,1.0
5,7,60,50.808758,4.339108,0.0,0.0,0.0
5,8,35,50.808758,4.342668,0.0,0.0,0.0
5,10,24,50.808758,4.34979,0.0,0.0,0.0
5,13,2,50.808758,4.360474,0.0,0.0,0.0
5,14,11,50.808758,4.364034,1.0,0.0,0.0
5,15,5,50.808758,4.367596,0.0,0.0,0.0
5,16,6,50.808758,4.371157,4.0,0.0,0.0
5,18,69,50.808758,4.378278,0.0,0.0,0.0
5,19,123,50.808758,4.38184,0.0,0.0,0.0
5,20,73,50.808758,4.3854,0.0,0.0,0.0
5,21,200,50.808758,4.388962,0.0,0.0,0.0
5,22,158,50.808758,4.392522,0.0,0.0,0.0
5,23,236,50.808758,4.396084,0.0,0.0,0.0
5,24,28,50.808758,4.399644,2.0,0.0,0.0
5,25,100,50.808758,4.403206,1.0,0.0,0.0
5,28,264,50.808758,4.413889,0.0,0.0,0.0
5,29,7,50.808758,4.41745,1.0,0.0,0.0
5,30,391,50.808758,4.42101,0.0,0.0,0.0
5,31,56,50.808758,4.424572,0.0,0.0,0.0
5,32,51,50.808758,4.428132,0.0,0.0,2.0
5,33,166,50.808758,4.431694,0.0,0.0,0.0
5,35,304,50.808758,4.438816,0.0,0.0,0.0
5,36,308,50.808758,4.442376,1.0,0.0,0.0
5,37,48,50.808758,4.445938,0.0,0.0,0.0
6,-9,230,50.811006,4.282132,0.0,0.0,0.0
6,-7,3,50.811006,4.289254,1.0,0.0,0.0
6,-5,48,50.811006,4.296376,0.0,0.0,0.0
6,-3,24,50.811006,4.303498,1.0,0.0,0.0
6,0,423,50.811006,4.31418,0.0,0.0,0.0
6,1,138,50.811006,4.317742,5.0,0.0,3.0
6,2,7,50.811006,4.321302,0.0,0.0,0.0
6,3,178,50.811006,4.324864,1.0,0.0,0.0
6,4,148,50.811006,4.328425,2.0,0.0,0.0
6,5,2,50.811006,4.331986,0.0,0.0,0.0
6,6,317,50.811006,4.335546,0.0,0.0,0.0
6,7,104,50.811006,4.339108,4.0,0.0,1.0
6,8,11,50.811006,4.342668,0.0,0.0,0.0
6,9,2,50.811006,4.34623,0.0,0.0,1.0
6,10,49,50.811006,4.34979,0.0,0.0,0.0
6,11,100,50.811006,4.353352,0.0,0.0,6.0
6,12,6,50.811006,4.356912,2.0,0.0,3.0
6,13,89,50.811006,4.360474,0.0,0.0,1.0
6,14,73,50.811006,4.364034,3.0,0.0,1.0
6,15,638,50.811006,4.367596,6.0,0.0,2.0
6,16,114,50.811006,4.371157,0.0,0.0,0.0
6,18,123,50.811006,4.378278,1.0,0.0,0.0
6,19,72,50.811006,4.38184,1.0,0.0,0.0
6,20,85,50.811006,4.3854,0.0,0.0,2.0
6,21,118,50.811006,4.388962,0.0,0.0,0.0
6,22,115,50.811006,4.392522,2.0,0.0,0.0
6,23,40,50.811006,4.396084,2.0,0.0,0.0
6,24,87,50.811006,4.399644,1.0,0.0,0.0
6,25,281,50.811006,4.403206,2.0,0.0,0.0
6,27,91,50.811006,4.410328,2.0,0.0,0.0
6,29,386,50.811006,4.41745,3.0,0.0,0.0
6,30,49,50.811006,4.42101,0.0,0.0,0.0
6,31,175,50.811006,4.424572,0.0,0.0,0.0
6,32,129,50.811006,4.428132,0.0,0.0,2.0
6,33,38,50.811006,4.431694,2.0,0.0,0.0
6,34,310,50.811006,4.435254,2.0,0.0,0.0
6,35,236,50.811006,4.438816,3.0,0.0,0.0
7,-12,5,50.813252,4.271448,0.0,0.0,0.0
7,-11,19,50.813252,4.27501,0.0,0.0,0.0
7,-8,6,50.813252,4.285693,0.0,0.0,0.0
7,-5,24,50.813252,4.296376,0.0,0.0,0.0
7,-4,30,50.813252,4.299936,0.0,0.0,0.0
7,-3,1,50.813252,4.303498,0.0,0.0,0.0
7,-2,300,50.813252,4.307058,3.0,0.0,0.0
7,1,302,50.813252,4.317742,0.0,0.0,0.0
7,2,237,50.813252,4.321302,2.0,0.0,2.0
7,3,13,50.813252,4.324864,2.0,0.0,2.0
7,4,14,50.813252,4.328425,0.0,0.0,0.0
7,5,5,50.813252,4.331986,2.0,0.0,0.0
7,6,14,50.813252,4.335546,0.0,0.0,0.0
7,7,5,50.813252,4.339108,2.0,0.0,2.0
7,8,2,50.813252,4.342668,0.0,0.0,0.0
7,9,176,50.813252,4.34623,0.0,0.0,2.0
7,10,3,50.813252,4.34979,0.0,0.0,3.0
7,11,26,50.813252,4.353352,0.0,0.0,1.0
7,12,143,50.813252,4.356912,1.0,0.0,0.0
7,13,28,50.813252,4.360474,0.0,0.0,0.0
7,14,1,50.813252,4.364034,0.0,0.0,0.0
7,15,1,50.813252,4.367596,0.0,0.0,0.0
7,16,3,50.813252,4.371157,0.0,0.0,0.0
7,17,2,50.813252,4.374718,0.0,0.0,0.0
7,18,273,50.813252,4.378278,0.0,0.0,0.0
7,19,26,50.813252,4.38184,0.0,0.0,0.0
7,20,100,50.813252,4.3854,3.0,0.0,2.0
7,21,62,50.813252,4.388962,0.0,0.0,0.0
7,22,10,50.813252,4.392522,0.0,0.0,0.0
7,23,436,50.813252,4.396084,0.0,0.0,0.0
7,24,46,50.813252,4.399644,0.0,0.0,0.0
7,25,67,50.813252,4.403206,1.0,0.0,0.0
7,26,27,50.813252,4.406766,0.0,0.0,0.0
7,27,134,50.813252,4.410328,1.0,0.0,0.0
7,28,40,50.813252,4.413889,1.0,0.0,0.0
7,29,2,50.813252,4.41745,2.0,0.0,0.0
7,30,247,50.813252,4.42101,3.0,2.0,0.0
7,32,444,50.813252,4.428132,8.0,2.0,0.0
7,33,2,50.813252,4.431694,3.0,0.0,0.0
7,34,221,50.813252,4.435254,3.0,0.0,0.0
7,35,319,50.813252,4.438816,1.0,0.0,0.0
8,-13,305,50.8155,4.267888,2.0,2.0,0.0
8,-11,28,50.8155,4.27501,2.0,0.0,0.0
8,-9,110,50.8155,4.282132,1.0,1.0,0.0
8,-8,35,50.8155,4.285693,0.0,0.0,0.0
8,-7,132,50.8155,4.289254,8.0,2.0,0.0
8,-6,60,50.8155,4.292814,1.0,0.0,0.0
8,-5,59,50.8155,4.296376,1.0,0.0,0.0
8,-2,310,50.8155,4.307058,1.0,0.0,0.0
8,-1,24,50.8155,4.31062,0.0,0.0,0.0
8,0,5,50.8155,4.31418,0.0,0.0,0.0
8,1,1,50.8155,4.317742,0.0,0.0,0.0
8,3,3,50.8155,4.324864,0.0,0.0,0.0
8,6,201,50.8155,4.335546,4.0,0.0,1.0
8,7,291,50.8155,4.339108,2.0,0.0,0.0
8,8,194,50.8155,4.342668,0.0,0.0,0.0
8,9,175,50.8155,4.34623,0.0,0.0,0.0
8,10,389,50.8155,4.34979,0.0,0.0,2.0
8,11,460,50.8155,4.353352,0.0,0.0,0.0
8,13,13,50.8155,4.360474,0.0,0.0,0.0
8,14,281,50.8155,4.364034,0.0,0.0,0.0
8,15,627,50.8155,4.367596,6.0,0.0,2.0
8,16,533,50.8155,4.371157,0.0,0.0,4.0
8,17,45,50.8155,4.374718,2.0,0.0,1.0
8,18,177,50.8155,4.378278,0.0,0.0,1.0
8,19,161,50.8155,4.38184,0.0,0.0,1.0
8,20,86,50.8155,4.3854,1.0,0.0,0.0
8,21,264,50.8155,4.388962,2.0,0.0,0.0
8,22,73,50.8155,4.392522,0.0,0.0,0.0
8,27,489,50.8155,4.410328,0.0,2.0,0.0
8,28,87,50.8155,4.413889,0.0,0.0,0.0
8,29,189,50.8155,4.41745,2.0,0.0,0.0
8,30,24,50.8155,4.42101,0.0,0.0,0.0
8,31,301,50.8155,4.424572,2.0,0.0,2.0
8,32,6,50.8155,4.428132,2.0,0.0,0.0
8,33,796,50.8155,4.431694,0.0,0.0,0.0
8,35,16,50.8155,4.438816,0.0,0.0,0.0
9,-16,4,50.817746,4.257204,0.0,0.0,0.0
9,-15,409,50.817746,4.260766,0.0,0.0,0.0
9,-14,129,50.817746,4.264326,1.0,0.0,0.0
9,-10,266,50.817746,4.27857,4.0,0.0,0.0
9,-9,38,50.817746,4.282132,1.0,1.0,0.0
9,-8,1,50.817746,4.285693,0.0,0.0,0.0
9,-6,128,50.817746,4.292814,1.0,0.0,0.0
9,-5,140,50.817746,4.296376,1.0,0.0,0.0
9,-4,18,50.817746,4.299936,1.0,0.0,0.0
9,-2,24,50.817746,4.307058,1.0,0.0,0.0
9,0,1,50.817746,4.31418,0.0,0.0,0.0
9,2,289,50.817746,4.321302,3.0,0.0,0.0
9,3,205,50.817746,4.324864,2.0,0.0,2.0
9,4,170,50.817746,4.328425,0.0,0.0,0.0
9,5,228,50.817746,4.331986,0.0,0.0,0.0
9,6,493,50.817746,4.335546,0.0,0.0,1.0
9,7,119,50.817746,4.339108,0.0,0.0,0.0
9,8,8,50.817746,4.342668,1.0,0.0,0.0
9,9,81,50.817746,4.34623,0.0,0.0,2.0
9,10,14,50.817746,4.34979,0.0,0.0,1.0
9,11,238,50.817746,4.353352,2.0,0.0,0.0
9,12,391,50.817746,4.356912,0.0,0.0,0.0
9,13,5,50.817746,4.360474,0.0,0.0,0.0
9,14,168,50.817746,4.364034,4.0,0.0,0.0
9,15,330,50.817746,4.367596,1.0,0.0,0.0
9,16,367,50.817746,4.371157,0.0,0.0,1.0
9,17,41,50.817746,4.374718,0.0,0.0,0.0
9,18,119,50.817746,4.378278,0.0,0.0,1.0
9,19,30,50.817746,4.38184,1.0,0.0,1.0
9,20,139,50.817746,4.3854,0.0,0.0,0.0
9,21,186,50.817746,4.388962,0.0,0.0,0.0
9,22,131,50.817746,4.392522,2.0,0.0,0.0
9,23,26,50.817746,4.396084,4.0,0.0,0.0
9,24,226,50.817746,4.399644,5.0,0.0,0.0
9,25,268,50.817746,4.403206,3.0,2.0,0.0
9,26,68,50.817746,4.406766,5.0,0.0,0.0
9,27,131,50.817746,4.410328,1.0,0.0,0.0
9,28,25,50.817746,4.413889,2.0,0.0,0.0
9,29,186,50.817746,4.41745,0.0,0.0,0.0
9,30,147,50.817746,4.42101,6.0,0.0,0.0
9,31,376,50.817746,4.424572,3.0,0.0,0.0
9,33,4,50.817746,4.431694,0.0,0.0,0.0
9,34,1,50.817746,4.435254,1.0,0.0,0.0
9,35,186,50.817746,4.438816,0.0,0.0,0.0
9,38,304,50.817746,4.449498,2.0,0.0,2.0
10,-10,50,50.819993,4.27857,0.0,0.0,0.0
10,-9,147,50.819993,4.282132,4.0,0.0,0.0
10,-8,49,50.819993,4.285693,0.0,0.0,0.0
10,-6,117,50.819993,4.292814,2.0,1.0,0.0
10,-5,2,50.819993,4.296376,0.0,0.0,0.0
10,-4,35,50.819993,4.299936,1.0,0.0,0.0
10,-3,134,50.819993,4.303498,0.0,0.0,0.0
10,-2,168,50.819993,4.307058,2.0,0.0,0.0
10,-1,1,50.819993,4.31062,0.0,0.0,0.0
10,0,304,50.819993,4.31418,0.0,0.0,0.0
10,1,25,50.819993,4.317742,0.0,0.0,0.0
10,2,54,50.819993,4.321302,0.0,0.0,0.0
10,3,199,50.819993,4.324864,3.0,0.0,2.0
10,4,249,50.819993,4.328425,0.0,0.0,0.0
10,5,469,50.819993,4.331986,0.0,0.0,0.0
10,6,415,50.819993,4.335546,3.0,0.0,2.0
10,7,167,50.819993,4.339108,2.0,0.0,0.0
