grid_row,grid_col,count,approx_lat,approx_lon
8,35,16,50.8154995,4.4388155000000005
9,-15,4,50.8177465,4.260765500000001
9,-14,409,50.8177465,4.2643265
9,-13,129,50.8177465,4.2678875000000005
9,-9,266,50.8177465,4.2821315
9,-8,38,50.8177465,4.285692500000001
9,-7,1,50.8177465,4.2892535
9,-5,128,50.8177465,4.2963755
9,-4,140,50.8177465,4.2999365
9,-3,18,50.8177465,4.303497500000001
9,-1,24,50.8177465,4.3106195000000005
9,0,1,50.8177465,4.3141805
9,2,289,50.8177465,4.3213025
9,3,205,50.8177465,4.3248635
9,4,170,50.8177465,4.328424500000001
9,5,228,50.8177465,4.3319855
9,6,493,50.8177465,4.3355465
9,7,119,50.8177465,4.3391075
9,8,8,50.8177465,4.3426685
9,9,81,50.8177465,4.346229500000001
9,10,14,50.8177465,4.3497905
9,11,238,50.8177465,4.3533515000000005
9,12,391,50.8177465,4.3569125
9,13,5,50.8177465,4.3604735
9,14,168,50.8177465,4.3640345
9,15,330,50.8177465,4.3675955
9,16,367,50.8177465,4.3711565000000006
9,17,41,50.8177465,4.3747175
9,18,119,50.8177465,4.3782785
9,19,30,50.8177465,4.3818395
9,20,139,50.8177465,4.3854005
9,21,186,50.8177465,4.388961500000001
9,22,131,50.8177465,4.3925225
9,23,26,50.8177465,4.3960835000000005
9,24,226,50.8177465,4.3996445
9,25,268,50.8177465,4.4032055
9,26,68,50.8177465,4.4067665
9,27,131,50.8177465,4.4103275
9,28,25,50.8177465,4.4138885000000005
9,29,186,50.8177465,4.4174495
9,30,147,50.8177465,4.4210105
9,31,376,50.8177465,4.4245715
9,33,4,50.8177465,4.431693500000001
9,34,1,50.8177465,4.4352545
9,35,186,50.8177465,4.4388155000000005
9,38,304,50.8177465,4.4494985
10,-9,50,50.819993499999995,4.2821315
10,-8,147,50.819993499999995,4.285692500000001
10,-7,49,50.819993499999995,4.2892535
10,-5,117,50.819993499999995,4.2963755
10,-4,2,50.819993499999995,4.2999365
10,-3,35,50.819993499999995,4.303497500000001
10,-2,134,50.819993499999995,4.3070585
10,-1,168,50.819993499999995,4.3106195000000005
10,0,305,50.819993499999995,4.3141805
10,1,25,50.819993499999995,4.3177415
10,2,54,50.819993499999995,4.3213025
10,3,199,50.819993499999995,4.3248635
10,4,249,50.819993499999995,4.328424500000001
10,5,469,50.819993499999995,4.3319855
10,6,415,50.819993499999995,4.3355465
10,7,167,50.819993499999995,4.3391075
