OBJECTID,MDRC,NAME_FRE,NAME_DUT,NAME_BI,Quartier2,Area_km2,Dens_2010,Dens_2011,Pop_2010,Pop_2011
20,8,MAROLLES,MAROLLEN,MAROLLE(N)(S),Marolles,0.6386,17289.6538,18199.4707,11041,11622
21,36,MATONGE,MATONGE,MATONGE,Matonge,0.4781,17097.1993,17419.3144,8174,8328
22,52,VEEWEYDE - AURORE,VEEWEIDE - AURORE,VEEWE(I)(Y)DE - AURORE,Veeweyde - Aurore,0.9129,15820.2612,16285.8207,14442,14867
23,58,ANDERLECHT CENTRE - WAYEZ,ANDERLECHT CENTRUM - WAYEZ,ANDERLECHT CENTR(UM)(E) - WAYEZ,Anderlecht Centre - Wayez,0.7204,17285.2701,18001.4991,12453,12969
24,93,BOULEVARD DE LA WOLUWE,WOLUWELAAN,BD. WOLUWE LAAN,Boulevard De La Woluwe,1.0527,5640.6262,5667.224,5938,5966
25,22,QUARTIER BRABANT,BRABANTWIJK,BRABANTWIJK / QUARTIER BRABANT,Quartier Brabant,0.7946,22658.1084,23613.3661,18003,18762
26,49,BOSNIE,BOSNIE,BOSNIE,Bosnie,0.2001,37462.5225,37492.5045,7497,7503
27,86,PADUWA,PADUWA,PADUWA,Paduwa,1.1507,7783.2915,7880.6261,8956,9068
28,66,POTAARDE,POTAARDE,POTAARDE,Potaarde,0.6507,4760.7339,4865.2304,3098,3166
29,904,PARC LEOPOLD,LEOPOLDPARK,LEOPOLDPARK / PARC LEOPOLD,Parc Leopold,0.1107,1156.0694,1183.1647,128,131
30,68,VILLAS DE GANSHOREN,VILLA'S VAN GANSHOREN,VILLA'S VAN GANSHOREN / VILLAS DE GANSHOREN,Villas De Ganshoren,0.7829,8519.2801,8636.7875,6670,6762
31,115,KALEVOET - MOENSBERG,KALEVOET - MOENSBERG,KALEVOET - MOENSBERG,Kalevoet - Moensberg,2.0888,4608.9546,4705.6627,9627,9829
32,79,PAIX,VREDE,VREDE / PAIX,Paix,1.1725,9841.9657,10145.5826,11540,11896
33,78,HAREN,HAREN,HAREN,Haren,1.907,2251.2035,2331.435,4293,4446
